今 古
雅句公明谪仙子 逸风正是老君家
须知文苑高韩愈 垒作琴堂感伯牙
对水双鹤由我跨 辋川一景属吾家
清虚益气凭师教 恬淡通津愧易牙
恰似禅僧初入定 正如大道始行功
内思不出澄神住 外想俱无忘闭空
一心发恨嫌行慢 两手扶鞭打得频
只为不知轻与重 更交转受苦中辛
满坐谈开三教语 一杯传透四时春
如知自在亭中景 便是逍遥物外身
默默昏昏风作伴 冥冥窈窈月为邻
异香旋旋虚空过 翠雾层层上下伸
岂用草茅遮雨露 亦非瓦屋度秋春
一间闲舍应难得 四假凡躯是此因
常盖常修安在地 任眠任宿不离身
有时觉后尤宽大 每到醒来愈爱亲
气血转流浑不漏 精神交结永无津
慧灯内照通三曜 福注长生出六尘
外边假合开中宝 里面真人认得贤
处处无心为锻炼 家家有性现精研
一条白线坚还洁 一粒金丹莹又鲜
两路相随成曲调 双关共透显诗篇
结性不能超造化 于身偏会做饥寒
如通须是搜元有 要见还应只内观
莫泥水升兼火降 体推虎绕与龙蟠
神精气住超双阙 日月星旋做一团
一九住时添秀丽 二关通后得完全
既能已结成初有 复透中间认始先
直要真清真寂静 更令没染没萦牵
须臾溉济同相见 顷刻冲和共自传
稳坐明堂拈宝炷 复游金洞赴琼筵
饥寒脱了堪来徃 生死捐除会倒颠
火焰高焚端子午 水源深决润西东
上中下正开心月 精气神全得祖风
既见旧时亲面目 更无今日假英雄
五重玉户光生彩 一粒金丹色变红
不可人前夸了了 须知物外笑呵呵
赤龙搅海添离水 紫焰安炉养坎河
木马还能从水虎 金翁须是取黄婆
汞铅亘昔交加作 儿女今朝婴姹多
采时惟我识根源 碾处无人知品格
尘散琼瑶分外香 汤浇雪浪于中白
清怀不论死生分 爽气每嫌天地窄
七碗道情通旧因 一传禅味开心特
此地常过三山客 往来相随九皋禽
重楼清冷洒甘雨 洗涤自没凡尘侵
神水撞透紫金窟 莹莹宝洞尤邃深
洞前古柏青且绿 状若月中蟾部林
树下问祖西来意 口不言答提裾襟
既已彼此总明了 定中达达那搜寻
无身无为亦无漏 勿论实腹并虚心
教君一通晓这个 八脉婴儿缠锦衾
此际遇逢齐上下 中间会聚各西东
须知冬至青和白 认取春分绿间红
急急三光如可悟 忙忙四假尽成空
圆明一点皆能有 物里千般总被蒙
觉性自然通水湛 达心那入百花丛
般般打破仍归妙 个个还回便见终
碧落湛澄非有意 白雪来往本无心
盈盈明月增佳致 细细清风送好音
举目慵观潘岳赋 怡颜懒抚伯牙琴
外除花卉游人静 内蕴芝苗只自临
决要三田归至宝 亦令一性上高岑
养成幻体如光莹 舞正胎仙似啸吟
净处常常生智慧 闲居每每起慈悲
搬柴运水唯闻做 观相存思各自为
减食忘情为慷慨 任歌取乐是修持
救人设药功尤大 戒酒除荤行最宜
眼界不生龙自住 鼻门无闭虎长停
舌根退味心神悦 耳内除声肾水清
南北冲和同一体 东西交媾灭三彭
木金厮仗盘恒处 婴姹相随自在符
十一日辰尤最奇 三千年见蟠桃结
莫辞金华酒频添 好把玉炉香满爇
仰祝遐龄无可比 有弟今朝细分说
若比金玉均可缺 若比江海亦不竭
若比铁石俱可裂 若比松柏皆可折
恰到清明真火得 不迷浊酒道心坚
自知一性通长寿 何耻凡躯挂旧毡
燕语呢喃金姹妙 莺啼视睆觑婴贤
三田谁识虚中宝 四假予知岭上看
乌帽婴儿添砚水 朱衣姹女运陈玄
白颜公子传银筦 绿鬓佳人铺锦笺
九转铺排真玉漾 一挥写就宝珠圆
明光灿灿千般莹 彩艳团团五色鲜
八百行成双树果 三千功满一声雷
更无意马游情色 那有心猿探世财
财色两能长灭绝 色财尽许不追陪
永除失脚黄泉去 久得回头道眼开
花外疏篁青掩映 门前流水绿萦回
高情好客长留客 胜赏传杯莫放杯
三画当年曾擅价 五言今去合知名
赋归已荷因风寄 酾藇终期对月倾
千里漫寻苕水梦 一廛方对相山居
归心不为莼鲈切 交契应闲简牍疏
逢君强赋湖阴曲 顾我方趋日照城
散坐酴醿留客醉 过庭鹎鵊为谁鸣
溯流不碍朝天去 掉鞅何当拜命还
半世光阴忧患裹 他时勋业笑谈间
宗盟尚诧当年盛 交分还欣此日投
名并邛郲公等继 政称京兆我难酬
羽旄每出邦人喜 壶矢閒同坐客投
膏雨应时和气洽 丰年有兆颂声酬
玉龙鳞甲寒犹蛰 银汉波澜冻未开
斜日湫潭微溅雨 深冬天地不鸣雷
人游杜牧晚清赋 境对王维别墅图
经始林泉心自巧 折冲廓庙术何迂
水过冷泉双涧合 石飞天竺一峰来
胜游喜有幽人约 佳句俄催爽气回
最怜磊磊多高节 未肯斑斑出异文
汉阁灯来徒照夜 葛陂龙去谩拿云
人跻物外红尘远 境堕壶中白昼长
风柳冷飘三月絮 寒梅幽寄一枝香
一日三秋双鬓改 两乡千里寸心驰
清香燕寝多佳致 远影楼台发妙词
黄耳音书寄怀抱 乌衣门巷惜丘墟
澄清孟博荣持节 雅量玄平静著书
昔游泉石迷寻访 故里风烟喜接连
聊假颁宣行素学 敢将迟暮叹华颠
汲黯旧闻羞作令 冯唐今愧老为郎
鵷鸿引去知何慕 鸥鹭归来不乱行
西园尚记英游并 南浦空嗟别恨长
壮志自窥勋业镜 高情休忆水云乡
普贤相对圆光里 摩诘不离方丈中
喜有篇章交寄远 恨无羽翼可凌空
每厌尘埃驱俗驾 不辞险阻访名山
池鱼得意时归壑 厩马长鸣暂出闲
华藏神通惊变现 台山公案好拈提
太冲漫作三都赋 子美全无一字题
蟠胸经纬开棋局 出手枭卢转博投
学有渊源流不竭 诗如珠玉价难酬
论思清禁三朝遇 閒散殊庭二纪投
迹与香山齐出处 诗将彭泽尽赓酬
尘土何时公事了 林泉聊与故人投
心期济物衰难强 志在求田老未酬
溪潭杳渺游鱼乐 林木阴森倦鸟投
千尺梵身名不谬 半轮山月句难酬
春归池草难专美 冷入江枫称所传
一字人知吟不到 八分我喜录成编
汉流尚带桃花水 云气初披杏子山
柳絮轻扬晴日暖 竹光不动午阴閒
千日不醒终有尽 百年浑得要为常
故人屡过无穷巷 一室能宽有醉乡
芒鞋入谷亲寻种 野服巡栏自把锄
室蔼芝兰无俗物 房深花木称僧居
鷅鹠鸣处韶光老 鹈鴂声中旅思长
曾为青山迂客路 莫偕红旆访仙乡
亿劫未曾亲见佛 一宵今得暂栖山
从来叶障须除结 此去功名直等閒
依微远树低平野 散漫清江吐乱洲
老眼乍明疑岘首 归心忽动忆槎头
数株古柳枯临水 百亩丛篁翠倚山
岁久刊题多泯灭 时清景物自幽閒
苍苔可忍欺香骨 粉蝶无端乱舞英
有恨应羞霜月照 锺情犹赖晚风轻
雨后园林无玉树 朝来庭院满琼英
浮云冉冉当风尽 飞雪飘飘落砌轻
千寻秋色岩峦净 十里雷声涧谷寒
此去洗心应少累 从来蓄眼未经看
锦里出遨驱小队 雪山纳堠狎诸戎
叶连油幕侵天碧 花倚朱旗特地红
七夕难忘祈巧夜 三乡不以望仙时
曲江若悟贤臣语 汾水宁伤才子词
文章家法西京在 兄弟才名北斗高
欲取功名酬老大 岂将州县叹徒劳
庭闱一閟成今昔 世路重来太险巘
风义肯忘三益友 姓名愿入八哀诗
文章昔谓古可到 踪迹今为人所怜
憔悴形容勋业镜 归依空寂祖师禅
朱颜白发古仙伯 和气清风今德人
出处三朝常守道 承宣千里更宜民
仙都洞府春风好 处士星躔瑞气浓
道同偓佺传口诀 禅从摩诘悟心宗
嘉时浃日迎重九 景运中天恰半千
律播金商资爽气 露和琼屑引遐年
当年郜鼎争尤力 此日于门报已隆
政尚宽和承祖烈 量涵清浊称家风
狎主齐盟争定霸 互为勍敌锐临戎
波澜已得江流助 组丽仍依锦段红
二山相距无千里 数口俱仙有两家
仇穴便当营草屋 武陵何必访桃花
一天月色连秋色 万树风声似水声
小槛沉沉青嶂合 修檐冉冉白云行
忽临城郭千峰住 下有源泉万斛开
鱼鳖宁容腥沼沚 蛟龙曾是起风雷
连峰衮衮从天下 迥野茫茫匝地开
晓日重溟红浪涌 夜灯千岭瑞光来
五亩邱园傍城市 一堂花竹带云山
留连风月真成趣 屏远尘埃雅自闲
骥骎作驹期万里 鸾凰振翼便千寻
驰声场屋谁勍敌 好事侯邦尽赏音
才薄愧参龙虎榜 会难常叹马牛风
弟兄半已颠毛白 宾主休辞醉颊红
百顷烟村抱城郭 数峰云水拥楼台
千篇取足诗材剩 万轴横陈画笥开
数峰岚翠欲排闼 半夜溪声碍枕流
入坐烟霞终日秀 对床风雨一灯幽
高文早出诸儒右 清节宜书独行篇
白首可怜才半剌 朱衣犹得贵重泉
已作善人称里闬 固宜阴德大门闾
悟超庭柏心无碍 香茁阶兰庆有余
绛帷久擅诗书乐 朱邸频酾酒醴醇
不许功名书竹帛 祗将文行照簪绅
九庙向来连北阙 五陵依旧对南山
玉衣不受清尘涴 风马应随采仗还
已约清樽携九日 要将黄菊荐三贤
深秋风日明寒水 宿雨波澜起画船
君家沧海宾初日 我戍衡山俯夕阳
情话何当倾肺腑 倦游聊复信行藏
玉帐未容佳境到 云山已在好诗中
灵珠忽富千金赠 凡马堪嗟万古空
筋力已疲难报国 田园有许即归山
何期俗驾经时出 却得浮生数日閒
已向时坛称独步 不妨祖令更全提
真空雅与高情契 绝景终希大手题
三径未成归计晚 一尊犹喜故人投
小篇偶寓诗筒去 佳句还劳驿使酬
寒驴苦忆长安道 古寺深行小有天
岘首诗人穷入画 孤山处士句堪传
消磨光景驱驰裹 疲弊精神倥惚中
珠玉忽收千里赠 尘埃顿洗一襟空
草制方观周诰命 筹边聊重蜀江山
搏风已激三千水 掣电终归十二闲
松读十年乖种植 妻孥万里困携提
宠门偶幸余光借 雁塔曾同伯氏题
蒹苇已惭瑶树倚 琼琚仍愧木瓜投
小诗勉向忙中和 大白难禁醉裹酬
胜游得得今须遍 俗驾迟迟肯遽还
绝巘晨光收雨脚 群峰春色亸烟鬟
鼓钟与看千人会 玉石难分十种仙
幽壑旧传灵药富 苍崖曾现宝光圆
云路旧游群玉府 山城初见谪仙人
八龙漂泊知余几 三爵追随莫厌频
官曹传檄清风肃 老稚随车淑气移
赵日可能兼畏爱 苏夫那复间公私
森罗壁绘推前辈 缥缈楼居见列仙
朝斗坛边星象冷 步虚声内月华圆
月光此夜十分满 风色今朝一点无
乡国不须悲楚蜀 庭阶且喜集封胡
金吾驰禁玉漏永 九衢遍走狂欢遨
访寻三曲选清唱 交结五陵皆大豪
笑将千金买斗酒 轻若九牛亡一毛
赋诗更作文字饮 止酒一篇羞和陶
笔端百韵斗奇险 坐上几人推俊髦
万事转头成短梦 十年屈指如奔涛
功名到手身先死 诗礼传家道不孤
千里新封从马鬣 百年余庆萃鵷雏
泛宅浮家聊自托 荫松藉草欲谁论
物情鱼沫真堪笑 世事槐安不在言
江上扁舟随处是 烟中华屋转头非
逢人借问何时定 有客来传二圣归
谈笑静移杨柳日 杯盘清乏芰荷风
鹏抟竞祝三旌贵 鲸吸相期百榼空
诗豪不共年俱长 鬓雪惟应老自生
得酒人情何太喜 犯寒春色不多争
相与未成招隐什 分攜宜尽送行杯
谁令急景堂堂去 我为佳人得得来
半面向怀精舍旧 一行今整汉阳装
如君俊逸犹沉滞 顾我迂疏合退藏
醉被长官轻骂郑 懒从学子竞嘲边
功名有日还三杰 诗酒何人继八仙
道路向来荒枳棘 堤封从昔错沟塍
烟销列嶂秋光远 木落长淮霁色澄
曾把数枝分暗馥 要催群卉助光华
高吟两绝那容继 胜赏双清蔑以加
清香扑袂传春信 疏影摇窗借日华
小小池塘从掩映 依依杨柳漫交加
忽惊珠玉情相厚 便觉山林计不疏
酒熟会看延客醉 诗成还复遣儿书
蜀酒渐宜消昼永 单衣犹觉怯朝寒
玲珑有客双摇辔 矍铄何人一据鞍
江湖节物登王鲔 村落归心起杜鹃
已办寻芳游野寺 何当修禊泛溪船
联骑不妨多载酒 看花无用更烧香
望穷岩电搜诗眼 愁转车轮感别肠
寻芳敢擅携筇去 命友应从折简呼
酒里光阴閒活计 诗余情思静功夫
枯卉遂承新雨露 苍鹰应识旧云霄
废兴须信关时命 劳逸谁能问贯条
不见少年閒信马 空怜寒士出无车
泥融近水芹抽叶 地暖依墙荠放花
济旱会施惟肖雨 举贤先应少微星
行趋北阙形神健 坐对东风醉梦醒
韦皋况有三年约 陶谷端非一日谋
残角为谁惊晓梦 远山多事惹春愁
山川千里玉为路 楼观半天云满城
径醉已从酾酒去 稍晴当办出郊行
阅史旧尝疑夏五 参禅今遂荐前三
饮阑却怪清樽恶 饥甚犹怜粝食甘
题诗懒作蝇头字 贳酒愁看犊鼻褌
芳草藉青迷野迳 远山横翠入柴门
官游动是三年别 邂逅应容一笑欢
荷浦珠联秋露溢 稻田龟坼暑风乾
官柳又惊眉拂翠 宫梅应喜额涂黄
江湖得计还相造 道义论交付两忘
坐驰芍药心先醉 身老江湖眼欲花
夜半已酬连理约 风前还见一枝斜
柳条借日还金色 梅萼因风动玉容
窥牖数声禽度曲 过庭千字雁书空
得书故旧颇相悯 上书朝廷应见容
开府莫辞金帛尽 犁庭当冀祲氛空
涂山漫想诸侯会 濠上聊追二子游
大剑长刀秋正扰 淡烟疏雨暮还愁
竹外一枝青更好 水边疏影动还迷
醉醒正值微风入 酬唱何妨素魄低
应念开帱来白鸟 故成洒酒聚青蝇
南皮痛饮君当继 北牖高眠我独醒
风将急霰先鸣瓦 水剪寒花忽际天
才涩敢陪梁苑客 兴来从泛剡溪船
欲问劳生心扰扰 强酬佳句思迟迟
红尘策马殊无味 碧杖移僧自合宜
休嗟岁月堂堂去 且喜旌麾得得来
春至会霑新雨露 时清应扫旧氛埃
楼台正倚双峰起 香火曾瞻四祖来
霜重静闻秋子落 风高愁听晓猿哀
一梦傥从今日觉 群峰应许此山尊
塔中相好如来真 手里衣盂达磨存
一脔乍惊肥羜美 五紽应喜敝裘全
好从牛炙论莼菜 堪笑河魨咏柳绵
传来多谢新诗寄 接得翻愁病眼看
漫想素妆嫌粉涴 须怜青子着枝酸
旧游何在已芜没 前好欲言空感伤
重对诗囊开锦绣 要看谈麈落冰霜
飘零未遂襟期远 迟暮徒惊岁月伤
初喜嫩荷青直盖 不知新竹粉储霜
高压菊花还独步 静窥池水试新妆
自怜衰病追欢懒 忽睹骚吟引兴长
顾我未忘童子好 评君还向古人求
缃奁启处云英馥 石鼎煎来雪浪浮
危坐遂移桑荫日 清谈仍对菊花风
凭君为我追欢伯 自此游山作醉翁
珠帘高捲虾须日 宝扇斜开雉尾宫
勿诮赵尧刀笔吏 须怜窦巩嗫嚅翁
一时思致追长庆 千载风流识建安
接武尚稽班玉笋 昂霄终合待金銮
那么问对成中说 自得逍遥喜风篇
雪里书来檐噪鹊 灯前诗就鼎凝烟
可怜一雨今时若 便觉千塍顿郁然
击壤有期应共庆 效颦非分敢争妍
宓妃正自须曹赋 楚女何妨与宋邻
醉著午风沈似酒 妆融朝雨细如尘
冻蠡夜回千首北 寒梅朝放一枝南
扁舟底事方行役 贩履何人正立谈
路逢野老那知姓 耳听幽禽自唤名
岁晚山林松桧色 天寒关塞鼓鞞声
千龄令庆亨嘉会 二府新分造化权
咫尺云天依日月 斯须霖雨浃山川
卜宅又惊三浃日 御琴空感再周星
新愁卿酒心先醉 气怯春寒梦易醒
月光摇水制金蛇 坐想骚人赋秋色
举杯向天属姮娥 君当照坐吾当歌
势先泽腹归冰鉴 气迫毫尖入管城
吏部梦逾秦岭去 将军来作蔡州行
因观雪曲词争胜 便觉诗邻势不孤
警雁王师方入蔡 赠梅边使欲离吴
曾望碧云频送目 又惊红叶再敲秋
千山不隔清风远 两地应同素月流
千里亢阳忧岁旱 一时甘雨快人心
养禾不害连朝噎 沃暑应容数日霖
卧云禾穗珠成实 倾露荷花麝被囊
逸世才猷金騕褭 逼人风味木兰堂
休嗟晚菊今迷草 且喜寒梅欲放花
丈室香温严宝坐 将坛风软拥高牙
雪中令我思风絮 天上因君合雨花
一炷飞烟云夭矫 数行佳树玉槎牙
摇风柳带缘冰重 破冻溪流与岸回
群盗传闻湖外去 愁云准拟岁前开
路通千里传书去 人喜三军破贼回
梅萼封檀香未彻 湖声撞玉冻初开
回銮未睹迎天驷 劝穑还惊出土牛
雨过池塘新涨绿 春归原野霁烟浮
辞源已见流三峡 笔力当期挽万牛
白日忍从黄雾塞 青天那复黑云浮
试看落笔云烟疾 难放摇春草木闲
美俗未容窥制锦 劝耕聊得伴行山
霁日有情茶乳合 春风无力柳丝閒
肯从逋客来三径 只恐佳人赋二山
山长不碍飞云去 江涨应从远水通
白鹭晚潮初浸脚 雨花遗址正横空
山拥青螺初洗雨 水浮苍璧似围春
别来举废同千古 此去荣枯会一新
苒苒年华催我老 酣酣春意得人迷
联珠便觉新诗富 浮玉还听雅唱低
才华好自銮坡进 诗思休从蝶梦迷
深院日迟黄鸟啭 长桥风软绿杨低
已荒深院菊犹在 欲去短亭人强留
千里书迟空噪鹊 四邻砧乱混鸣鸠
只恐磨砖难作镜 已知行水戒推轮
箪瓢本是吾家物 轩冕宁容我辈人
未饶玉蘂来仙女 那羡莲花似阿郎
遣兴勉从吾辈在 追欢难入少年场
虽贫赖有旧栽竹 纵懒未容全废诗
碧草望迷烟漠漠 黄梅看熟雨垂垂
枯槁又经三月雨 穷愁聊付一篇诗
窗间远岫青千叠 楼外长天碧四垂
向来兵火亦何久 此去功史应水迟
诗似清风宜我慰 心如白水欲谁欺
身世自怜巢幕燕 利名谁銮扑灯蛾
风前逸气舒长笛 酒里清愁到短歌
颃颉竞看飞石燕 蠉蠕应快洗桃虫
旧闻人说天心解 今见时和岁事丰
年丰野老常携酒 客至幽禽自唤茶
乱后所存惟五柳 老来无意约山花
杨柳阴交山径晚 酴醾香满驿亭春
吟余扫壁时挥翰 醉里投床任吐茵
好花觅句忍轻负 幽鸟劝沽良重违
閒爱青苔缘砌上 静看蝴蝶扑窗飞
诗成妙墨挥张圣 酒到高歌发楚狂
夹道野花围叔障 两行官妓簇桥梁
行色可无三日霁 旅怀庆付万家春
欣闻郊劳开瑶席 想见车旋人锦茵
善举敢论当世比 佳篇应任老夫传
凌云列岫堆螺髻 出水新荷点翠钿
如子固宜倾坐客 顾予何计挽征艎
交情旧喜推东道 归梦先应到北堂
同辈交游惟我拙 一时人物似君稀
风神要在山庭峻 辞吐初疑锯屑飞
威行草木霜争肃 春到湖山雪自融
至喜此心鱼鸟共 去思前日吏民同
上圣急贤齐舜禹 群公引类迈夔龙
非材似我十围栎 有用如君千丈松
节晚独存松柏劲 岁寒还见雪霜浮
老将耄及从人笑 醉欲眠时遣客休
染羹早厌夸鼋指 食肉应宜谢马肝
送客篇章堪寄远 论文杯勺自驱寒
身外轩裳谁系绾 壶中日月自舒长
平生尘垢烦三沐 投老功名笑五浆
山色水光相上下 月华秋气共清圆
佳时令我思韩愈 好梦逢君想惠连
坐送落霞还杳霭 倚看明月上高圆
清谈浩渺河源注 丽句纵横绣段连
扬舲共喜风初转 戏彩当期月正圆
水落双溪和石出 霜余叠嶂与云连
只今连璧复有谁 伯仲未可轻第行
小人老矣病且衰 目光近在牛背上
酣战遂符占蚁信 郁兴良慰望霓儿
一时与被尧天泽 四海同苏傅野霖
官逋遮为麦秋缓 酒价定随人意饶
欲落枣花蚕断茧 半黄梅子稻移苗
精诚心致当时雨 膏泽将为异岁霖
得水槁苗俱竞秀 乘秋高鸟自能吟
是非孰辨聊分谤 诞信相讥要止讹
摇落独怜松不改 澄清尝见海无波
望来已见千山雨 此去那忧百谷乾
清风入夜可人意 来与夫子调朱弦
连日秋阴荡残暑 抖擞烦襟欲轻举
莫言岩壑都无用 须信风云会有期
邂逅醉乡还自适 周旋诗社好相规
尝鼎固应从指染 冲天行喜见云翔
向来别恨江同远 此去诗情日共长
积潦夜增南浦涨 微风朝送北窗清
滞留羁客牵归思 陶写新诗尽物情
濯鲜瀹卵非予事 清暑攘寒盖我心
物态漫劳私暧暧 灵源当信匪今今
滞留又及炊新粟 欢喜何当见旧山
招隐有诗来霅上 倦游无梦到云间
不知城高乃有此 六月表里冰壶清
我来蒙师炷香鼎 旋汲溪泉为煎茗
旧游乱后半芜没 新贵迩来多罪亡
我有埙篪相应和 君同兰玉竞芬芳
纵观妙墨云烟动 想见新诗欬唾成
带雪山川增绮丽 向春梅柳自欣荣
喜对新诗醒病眼 会逢膏雨沃骄阳
过僧竹院茶争美 酌客山堂酒倍香
望岁比同伤再潦 逢年今共快三霙
光凝夜旦千山晓 势合高卑万壑平
齐腰欲究安心法 乘兴当为访戴人
晔晔寒江归钓艇 丁丁虚谷动樵斤
为言空腹朝搜句 不觉寒窗夜集霙
泽浃寰区成地富 光生蓬荜见天平
莫讶窗前群噪鹊 须怜江上有归人
抛砖已喜来荆璞 斲垩无劳运郢斤
悄玉岂劳青女送 飞花聊混白云霙
预占岁稔矜祥旧 不择贫家荷施平
谢庭拟似吟飞絮 洛浦飘飖见丽人
漏箭不知楼外晓 觥筹先发坐中春
扶疏新竹听流水 夭乔古松看霁霞
远目自能供觅句 枯肠终不奈搜茶
燥吻未濡莲社酒 枯肠空搅玉川茶
摇风绿竹初翻箨 过雨红葵甚放花
丑妻终胜长为客 薄酒能无更饮茶
梦断北窗凉似水 望中南亩雨飞花
醉日到来应种竹 梅时过尽好藏茶
遥怜壶枣初成实 似说占禾半吐花
栖栖众且疑夫子 碌碌谁知效阿奴
老去睡乡还积欠 君来诗社责新逋
黄花照眼吟肩耸 红袖扶头醉帽轻
可惯探题仍击钵 敢辞偿令独浮觥
山林应有清修重 轩冕还将道义轻
诗捷口占那复藁 酒豪盆酌不论觥
跨马未须贪远道 举觞聊复望青天
枯荷折苇三墩路 明月清风百丈船
强陪簪绂更三圣 安坐江湖又四春
便合痴狂称达者 谁能穷悴作骚人
空腹但看长柄械 缓行何用短辕车
神驰邓步弥天葑 梦入朋豀夹径花
旧隐已锄三径菊 新吟聊想一囊钱
春归沂水还相乐 秋到旴江盛有年
文翰共推唐李峤 功名将踵汉韦贤
江山到处供诗笥 风月多情付酒船
朋旧乱多从鬼录 诗书閒益富生涯
稻塍绿合迷秧马 沙嘴潮回下钓车
三杯强沃浇肠酒 一捻聊分暖砚盐
已恨梅梢遭挫折 可堪风物为般添
似是青腰夸黑帝 故教姑射混无盐
地炉无奈貂裘薄 斗酒难供座客添
鲁会一时归寂寞 吴吟千载发清雄
湖山照碧朦胧日 鞍马欺寒料峭风
待伴可堪风作党 交光应喜月成三
濯市漉酒供杯勺 涉笔联诗尚笑谈
楼中胜饮八仙聚 物外清谈三语该
空翠水光争滉漾 漏声钟韵共徘徊
得鱼始信筌无用 斲垩终期鼻不伤
我类槁苗犹欠雨 君同修竹饱经霜
一杯饯别初迎腊 千里归来欲送春
爱日光阴宜共惜 及时德业要争新
梅花正喜春悬凤 藿叶俄同夏鱠鱼
下榻旧闻看孺子 负荆谁复谢相如
溪边草色青毡合 竹外山光翠盖横
弱柳弄閒无限思 小桃含笑不胜情
颇惯黑甜相对美 可无赤糙为宽忧
干戈在眼心还折 勋业何时鬓早秋
惯看雄辩朝挥尘 想见清吟放度韶
老去荷君频折简 时来容我尚同寮
秋赋肯甘同宋玉 昼眠聊复糨边韶
翩翩幽鸟随风屐 炯炯寒灯伴夜寮
实录成书辉日月 奉常新乐奏咸韶
佳篇千里来青琐 好梦连宵到绮寮
坐逢石鼎应联句 箧有龙潭敢斗茶
樽酒几时同竹叶 功名终日鉴菱花
顾我未能忘楚些 因君聊复效吴吟
遥林入眼增双碧 羸马奔家竞寸阴
所得岂容人继和 朗吟应被鹤听闻
月轮冷照千岩雪 霞片轻装万叠云
香岩硉矹耸人目 香岩秀气超尘凡
香岩之风清可掬 终日哦松适幽独
会见马群空冀野 还同鹤驾到扬州
鲈鱼出网红翻锦 江水浮山绿泼油
宁知懒过嵇中散 亦有诗如谢法曹
旧藁只堪供酱瓿 故人相赠有绨袍
敢倩双鱼传尺素 要知一日似三秋
射阳别后从新辟 幽谷公余获胜游
须知楚国尝为塞 不为涪翁浪得句
人若此贤真俊杰 楼还旧观焕神明
閒中情性南无界 物外光阴小有天
连喜得官如得句 惯看乘马似乘船
天子远酬丹诏去 高僧不出白云来
眉毫久别应垂雪 心印休传本似灰
羸马送曛行自急 峭寒欺客晚还加
日边雁足应传信 竹外梅梢合放花
九华何处正嶙峋 琼树瑶林斗明洁
扁舟突兀依寒芦 朝来残酒犹半壶
暖回炽焰身成直 拨到残灰手欲龟
赠炭尚谁怜正曜 授薪还自愧支离
閒淡似宜冬后日 清癯应怯夜来霜
生憎丹脸娇含酒 巧妬冰肌冷透香
正色不从朱粉涴 耐寒犹怪雪霜轻
论交薝蔔君为胜 投社酴醿我更清
满袖尘埃回俗步 一炉香火隔禅林
偶留刺字情非浅 忽枉诗章思更深
别恨久随黄耳去 归心应望白云生
干戈丛里三书考 春夏交来几闭城
白雪已输梅斗早 绿樽尤与火相宜
撷来野蔌和萱草 分得江鱼贯柳枝
破寒青转芜菁叶 抵日红抽芍药荄
岁换未劳惊我壮 酒封聊复为君开
千里交游思命驾 一龛灯火喜逢秋
胸中云梦应无算 天上风雷得遍搜
曾预宣和闻喜集 重观乾道计偕行
绣衣劝驾追前哲 熊轼宾贤继列城
莫贪视盗诛锄术 轻换齐民种莳书
风物最怜清且好 宾朋那患数斯疏
翘候载芟歌济济 忍看云汉叹烛烛
困穷转觉蓬心隘 憔悴犹怜菜颊丰
倚栏人在烟霞外 落笔诗成笑语中
属句畏惭非孟子 供欢端合有车公
踏霜人去繵风吼 冲浪舟行岸冻开
雪尽野梅红剪腊 春回溪水绿生苔
坐看雁阵落沙觜 欲下复起摩苍穹
寒芦飞花秋色老 乱扑客衣纷不扫
晚食得鱼吹荻火 秋盘寻笋舣松舟
布裙斗酒不须恶 明月清风且相乐
晚来江上西风急 收拾莲红付拒霜
万山摇落见森樾 翠影萧萧冷梳发
老来转使宦情薄 春思颇增诗兴长
教子文书容自勉 逢人尊酒为谁忙
东君戏草康乐园 旋入夭桃与繁李
乱花无数不知名 往往倚槛窥前楹
这前十顷碧琉璃 过雨荷花净如浴
客来不迎君莫嗔 我有清风如故人
湖光醉就琥珀浓 应助先生恣浇泼
西风摇落黄花秋 江城有蟹供拍浮
先生对雪望江南 嗅认梅花忍寒折
痴云卷尽清月流 小舟横卧南池头
吹霞弄日语纵工 正恐诗人类迂阔
屋角萧萧霜叶鸣 夜静乱我糟床声
门外山横青玉案 屋头榴绽紫罗囊
对吟已觉输新俊 遇酒还能发老狂
可怜率士民心固 端为当年圣泽流
此去会看还北狩 夜来先梦到东州
避地未容行信步 汎江聊得卧安流
望穷落鹜千山晚 梦断惊飚万壑秋
风霾未放远山出 岚气又连凄日阴
世乱且同吟啸乐 时来终快扫除心
风里断鸿书还草 山头飞叶汉浮槎
柂楼索莫吟秋笛 戍火青荧咽暮笳
渔用缭绕青山去 枫叶追随白鸟飞
摩诘家风非世有 渊明心性与时违
舒啸可无元亮意 哦诗如见少陵时
江湖於我还萧散 田舍从他笑重迟
夜窗明月来临卷 昼户清风为启关
霞绮障秋惊老眼 酒红潮面发衰颜
黄花雅意撩诗兴 红叶端能寄别愁
日月奔驰双转毂 江湖漂荡一轻鸥
宦情薄似贤人酒 诗思清於少女风
秋雨养肥桑耳白 溪流濯出柳须红
疏竹依岩秋迸笋 病桑经火雨生枝
草侵药种多难辨 土拨松苗欲自移
悬知菊水人难老 可信桃源路易迷
山岭梅花迎客笑 路傍松盖与云齐
那得引时仍此乐 况逢难弟与难兄
潺潺暮雨檐间溜 滑滑春泥柳外声
杯渡已知无用楫 马行今信不更车
数声幽鸟过庭际 一派飞泉赴壑初
荣观共作叹嗟语 静念独伤离别情
畏景逼人才数日 修涂计此始三程
二禅过我欲东游 为说偕行得衣友
天童老人笑垂手 应问师来欲何取
