春风梳柳燕裁锦 秋雨点芦蛙弄声
高阁横秀气 飞泉挂碧蜂.
豪竹哀丝,谁能为此曲 高山流水,君听空外音.
下则为河岳,上则为日星,万象在旁,放眼雄边成壮阔 前不见古人,后不见来者,一杯相属,凭栏孤喟落苍茫.
灵素阐真诠,断胃湔肠呈异术 岐黄宣妙蕴,解头理脑媲神功.
紫气满前程,从函谷关来,闻道者非徒尹喜 丹经流妙说,上昆仑山去,尽头处乃号天尊.
出地在天,常与民生作霖雨 殛邪扶正,愿凭神力扫搀枪.
臣何和之有焉？及尔同僚,以祈甘雨 神为德其盛矣,生我百谷,迄用康年.
遨游二华之间,尽是雪泥鸿爪 栖息九阳之岭,依然道骨仙风.
雷坛苦行留仙迹 神室清风有异香.
环室月怀人,可又青鸾来玉塞 楚山云取路,定骑黄鹤到金天.
普物无心,万方共载慈云遍 资生有道,百族同依爱日长.
夜月千江天地晓 秋花一树镜台空.
宝座生春,紫竹因空翻有色 香台说法,白鹦能悟惭无言.
极本道宗,太极原从无极始 元为善长,三元总是一无分.
即色即空,即心即佛 亦诗亦酒,亦儒亦仙.
忆黄粱炊熟又两千年,先生以后无人醒 把铁笛吹残刚两三下,尘世曾经几劫灰.
仗三尺剑,扫天下妖氛,具见英雄手段 著千金方,拯民间疾苦,依然菩萨心肠.
苦海难航,有几人渡筏而登？只要六根早净 化城谁主,谓哪个转轮不舍？且看二世如来.
大义参天,金炉不彻扶炎气 精忠贯日,宝炬常照达旦光.
西方贝叶演真经,如闻如来,总不出戒定慧三条法要 南海莲花生妙相,自观自在,也只消闻思修一味圆通.
无物不容,我思水浊 有阶可上,人比山高.
座中排无数云山,都为主人添画稿 窗外是奔流河水,能催壮士起歌声.
象教辟西方,灯传永证辟支果 鸿慈遍南山,航渡还参最上层.
金城保障永皇图. 种豆得豆,种瓜得瓜,举念时须修善果；
说法非法,说相非相,会心处才是上乘. 指普天之青云,两只佛手；
视众生如赤子,一片婆心. 闭户三年,行著严霜劲雪；
登堂一喝,云垂翠竹黄花. 正则扶,奸则诛,这便是春秋学问；
始以仁,终以义,已到了圣贤功夫. 乃圣乃神,万古英灵不爽；
允文允武,千秋大义常昭. 常啸玄坛,气接南山兴宝藏；
金生丽水,坐依坎位浚财源. 屹砥柱,障狂澜,当代文章特振起；
耀长庚,映霄汉,斯儒脉胳永昭回. 地近南山,耸起文峰千尺；
楼迎北极,拓开云路万重. 彩笔徇南楼,蔚起文人朝凤阙；
金鳌撑北极,维持士子跃龙门. 天险化康衢,直如海市楼中,现不住法；
河堧开画本,安得云梯关外,作如是观. 高山仰止；
大河前横. 四海升平,黄河水变青罗带；
万家向阳,白塔山成碧玉簪. 剪一片白云补衲；
邀半轮明月看经. 睁眼看凡人,为消除怪雨盲风,拨开云雾；
叩头求上帝,快吩咐恒星列宿,整顿乾坤. 佛老识天倪,不受五行束缚,
圣贤重人事,能开万世太平. 随处现身,芙蓉面上春风拂；
寻声觅苦,杨柳枝头甘露流. 惠陵烟雨,涿郡风雷,在昔埙篪兴一旅；
魏国山河,吴宫花草,于今蛮触笑三分. 义勇镇边疆,泽并黄河流万古；
武安延社稷,群瞻紫塞峙千秋. 座下莲花,占断西湖三月景；
瓶中杨柳,分来南海一枝香. 外域全归,坐揽关山皆胜地；
上游得据,笑谈西北有高楼. 春色满桃园,三国英雄如在；
秋风吹菊圃,万年俎豆常新. 探源头天上而来,仗神力疏通,澜安九曲；
展祀则人心致敬,知典章隆重,秩视三公. 曾经沧海千层浪；
又上黄河一道桥. 全河首尾经中国；
九曲纵横入大清. 万丈文光连北斗；
四时佳气对南山. 蜀乎,魏乎,吴乎,名留三国；
圣也,神也,佛也,道在一人. 威震三分国；
忠为百世师. 山势当空出；
河声入海遥. 山色盈窗,大开眼界；
河声入座,豁荡胸襟. 山产黄金,愿得千斤铸神像；
河翻白浪,常将九曲涤人疴. 华夏著神威,亦曾仗关前匹马；
炎刘存正统,几能抛肘后千金. 日永壶中,开亿万年上清世界；
云飞关外,留五千言道德真经. 此间称天下上游,与佛国毗连,大规模九曲河流,五泉山色；
最好是秋凉佳节,借禅房憩宿,细领略半床月色,几杵钟声. 山势西迥犹顾汉；
涛声东下欲吞吴. 印来明月一潭,青霭冥冥,此地上通星宿海；
傍着大河九曲,黄河滚滚,出门如见浙江潮. 淘不尽满腹忧愁,九曲安澜,任眼底大河东去；
看得开浮云富贵,一场春梦,觉怀中爽气西来. 放眼最高层,蠡海任凭人揣测；
置身安稳处,蜗居容得我回旋. 登临仿佛上孤山,度亭外箫声,可有神仙来放鹤；
游赏分明来胜地,觅水中鞭影,更无豪杰肯骑驴. 每随云往云来,避世俗烦嚣,一片夕阳人驻马；
不管春寒春暖,任天机活泼,十分真乐我知鱼. 我曾放棹平湖,秋水苏堤频看月；
孰料垂竿故里,春风柳浪亦闻莺. 亭似冷泉,正逢判事余闲,红藕花中吹笛坐；
地饶水石,最爱携樽独往,乳鸠声里濯缨来. 每从杨柳阴中,放桨闲游,偶趁清风来世外；
安得荻芦深处,移家小住,不须流水到人间. 到处喜开樽,风月主人湖海士；
中流闲鼓枻,荷花世界柳丝乡. 何处是华胥,笑说尘寰皆梦境；
有人说天竺,来游寺观写诗情. 何必说杭州？能逍遥故国山河,头上有天皆乐土；
既然通潮海,莫辜负边关风月,眼前余地是欢场. 水深鱼浅游时乐；
春去花留过后香. 用作霖雨,不崇朝而遍天下；
及时膏泽,一举念尽属苍生. 数行杨柳,十里烟波,载酒寻诗,不减苏堤韵事；
北塔抽簪,南屏拥翠,浓妆淡抹,依然西子风流. 山川出云作霖雨；
楼台倒影入池塘. 杭州胜迹倒雷峰,愿北山孤塔凌空,万古云霄长矗立；
华夏频年增战垒,祝东浙大湖无恙,六桥歌舞是升平. 好登明月楼台,山光雅共湖光满；
为问秋风边塞,宦味何如乡味长. 看莽莽此乾坤中,好携铁板铜琶,唱大江东去；
得优优于湖水外,颇见青山红树,送爽气西来. 莫辜负山色湖光,乐在个中,客况清闲绿蚁酒；
好寄与诗情画意,超以象外,天机活泼白鸥心. 亭如有冷泉,凉却许多名利客；
潭亦常印月,悟来一点古禅心. 无杨柳不成春,看此间带雨含烟,系住流莺啼早树；
是湖山真可乐,又何处扁舟明月,载将斗酒访诗人. 石冷一溪水；
涛声万壑松. 洞里有天机,难向别人说破；
眼前皆道气,还从自性修成. 与天地要息息相关,趁春雨春风,松竹梅兰齐下种；
愿他日举欣欣来告,说山南山北,楩楠杞梓尽成材. 何妨携琴书笔砚酒棋茶,访高人韵士；
相与对风月烟云花草木,说往古今来. 高吟树惠滋兰句；
环顾栽桃种李人. 四十年丹桂黄槐,变作桑田遍自我；
千百尺苍松翠柏,养成材木在乎人. 窗台野色通书幌；
山带泉声入酒杯. 常思足莫当歧路；
漫道身如不系舟. 梦里题诗怀润笔；
林间煮酒唤提壶. 数间茅屋常临水；
十亩闲庭半种花. 丛桂留人,梅花对我；
园林涉趣,山鸟呼名. 野趣苍茫,山环水抱；
天机活泼,鱼跃鸢飞. 偃仰遂真性；
林园无俗情. 萃万种名葩,搜奇选俊；
辟数椽精舍,雅歌投壶. 莫妙于雨后看山,霞卷云舒,万千气象；
最好是庭前煮酒,花香鸟语,三五友朋. 拥十万树梨云,入窗山色年年好；
选五百造法乳,惊座高潭句句新. 半亩菜园,苍茫独适；
五泉瀑布,空翠飞来. 夜月窥人,九曲河声来枕上；
晴峦当户,五泉山色落杯中. 古寺对金山,看翠巘扑人眉宇；
长桥开铁索,放黄河入我胸襟. 熙朝帝汉室王忠,扶万年社稷；
大学诚中庸慎志,存一部春秋. 秉烛岂因嫌,此夜心中忆汉；
释奸非报德,当日眼底无曹. 好鸟枝头亦朋友；
落花水面皆文章. 草有忘忧,花名长乐；
人如东晋,户对南山. 幽禽弄晨,凉月媚夕；
净绿飘席,微芬洒襟. 因岩制屋；
对树开门. 庭有华巅嶙峋石；
花多海国富贵春. 傍市临山,且称乐地；
蒔花种竹,聊以慰情. 积石为山,牵萝补屋；
梨花院落,柳絮池塘. 庭院似清湘,酒渴思茶交午夜；
香雾漫空湿,梨花和月射黄昏. 高楼百尺吞山色；
春雨一帘卖杏花. 堆雪满床,酿云成梦；
借月为镜,将山作屏. 何处寻桃源,花放流水,俨然是逍遥世界；
闲来开榆社,赋诗饮酒,藉以陶活泼天机. 好大胆敢来见我；
快回头莫去害人. 举念时明明白白,勿忘了自己；
到头处是是非非,曾放过谁人. 尔欺尔我岂欺尔；
人负人天岂负人. 演古人事迹,忠自忠,奸自奸,做出来真是庐山面目；
指天下迷途,赏者赏,罚者罚,猛省处恍临屋漏神明. 抱来天上麒麟子；
送与人间积善家. 我但祈天上文衡,将礼乐诗书悬之日月；
神既掌人间禄藉,把功名富贵注与贤豪. 人影镜中,被一片花光围住；
霜华秋后,看四山岚翠飞来. 云声雁天夕；
雨梦蚁堂秋. 玉关柳色,陇上梅花,听凭羌笛吹来,雅调都成塞下曲；
汉口夕阳,洞庭秋水,想到渔歌队里,乡心倾尽掌中杯. 冠五六邑之区,忝广厦养士尊贤,自今伊始；
扶九万程而上,愿群材立名砥行,与古为徒. 讲舍喜初开,所愿二三子同心,切磋琢磨,莫负此长官雅意；
英才群待育,安得千万间广厦,藏修游戏,都教他寒士欢颜. 相业转乾坤,陆海尘清,长安日近；
人文关气运,九霄露湛,多士云蒸. 共赏万余卷奇文,远撷紫芝,近搴朱草；
重寻五十年旧事,一攀丹桂,三趁黄槐. 帝有恩言,下诏特增科举额；
士先器识,怜才无负相臣心. 边塞起风云,喜紫气东来,会有輶轩随雁度；
苍生盼霖雨,问黄河远上,此中多少化龙才. 节义凛风霜,碧血千年殷塞草；
春秋绵俎豆,黄河九曲咽忠魂. 浩气壮山河,马革归来成烈死；
大名光史策,豹皮常在想英风. 钻燧木先春,食德饮和,且自披星朝赤帝；
观灯天不夜,衢歌巷舞,何妨捧日待黄人. 一代元戎,想潇洒扇巾,堪比武乡为将相；
千秋俎豆,看巍峨庙宇,还凭忠荩作神明. 湘水共湾环,居近南阳生独晚；
河山同带砺,功高西域泽尤多. 过涪陵见刁斗铭,义释严颜,乃其余事；
与昭烈有桑梓谊,同扶汉祚,告厥成功. 黑蒙青新宁藏
诸天无相,极乐仰文殊. 定六艺于杏坛,绍虞夏商周之统；
藏诸经于鲁壁,开关闽濂洛之传. 近岭遥山铺鹤氅；
千条万树尽梨花. 知我者其惟春秋乎；
乃所愿则学孔子也. 盛世本同文,合左云右玉封疆,息马投戈,沙漠寝成邹鲁俗；
将军不好武,萃黑水白山俊彦,敦诗说理,边关长此诵弦声. 青冢有情犹识路；
平沙无处可招魂. 镇千里河流顺轨；
保八方雨赐宜时. 扬震旦天声,前无古人,后无来者；
作亚欧盟主,博我皇道,安我汉京. 寺貌仰巍峨,轮奂华宫垂万世；
真光明赫濯,礼拜传经永千秋. 黄流东注,湟水南来,任浊浪纵横,百折终须趋巨海；
胡笳勿悲,羌笛休怨,认灵旗仿佛,十载犹闻诵大招. 律协静条鸣,试看豹驾螭骖,作雨成林,都承清景；
化行知草偃,听罢胡笳羌笛,阜财解缊,更谱虞琴. 精诚贯日月；
节义凛冰霜. 滩浪高抛,势若三军应战；
水流湍急,声如万马奔腾. 梓里访遗踪,看空庭碧草,荒冢花般,何处是唐封宋赞；
杏坛亲教泽,听渭水莺啼,陇山鸟语,此中有化雨春风. 日上山,月上山,山上日月明；
青海湖,水海湖,湖海青水清. 提挚自西东,帕首靴刀,十年戎马书生祠；
指挥定中外,塞云边月,万里寒鸦相国志. 高志局四海；
英名擅八区. 日暮乡关何处是；
古来征战几人还. 赫濯震天山,通万里车书,何处是张营岳垒；
阴灵森秘殿,饱千秋冰雪,此中有汉石唐碑. 一池浓墨盛砚底；
万木长毫挺笔端. 过也如日月之食焉；
复其见天地之心乎. 文殊有殿存遗址；
拜寺无僧话旧游. 昭事必诚,方是追远报本；
致斋以敬,惟其忍性动心. 大道士东土,道完五功,始开百千暗慢；
正派衍西方,礼通三乘,方见独一真光. 尔来礼拜乎？须摩着心头,干过多少罪行,向此处鞠躬叩首；
谁是讲经者？必破出情面,说些警赫话语,好叫人入耳悚神. 山林古刹；
西夏名兰. 一柱撑天,东带黄河明献瑞；
孤标拔地,西屏兰岳秀争辉. 峰高华岳三千丈；
险据秦关百二重. 拜斯人便思学斯人,莫混帐磕了头去；
入此山须要出此山,当仔细扪着心来. 负笈跋涉赴胜地；
忍饥耐寒求正宗. 博览山川,虽此区僻处蛮荒,今得拓开增地利；
窝成安乐,愿众生习除猤狉,永敦遵化附天朝. 心存西汉,魂附西川,请看庙貌全新,声教只通西域；
法护南无,名存南史,若使边功同立,神威肯让南征. 嘘气成云以致雨；
变化不测之谓神. 品节冠临川.
玉茗堂中传蝶梦 临川集上插芳馨.
宜画宜诗,看如此江山,应封帝子 春来春去,历几多兴废,又建高台.
川光初媚日 野气欲沉山.
晓钟时出寺 高树晚生云.
傍山临流,自喜轩窗无俗韵 吟风弄月,都移造化入诗篇.
文章开窔奥 经训乃菑畲.
仰诵尧舜言,俯遵周孔辙 游思竹素园,寄辞翰墨林.
雨后岚光入清座 风前树影绿摇窗.
琢质绣章,国之良干 揽英接秀,世有今名.
员峤方壶同笑语 名山大泽出文章.
得英才而教育 以山水为性情.
快意当前,如镜临水 会心不远,开门见山.
用志不分,俯拾即是 开卷有得,与古为新.
一卷经文,茹霅溪边证慧业 千秋祀典,旗枪风里拜神灵.
几人得其趣 千载有余情.
一窍有泉通地脉 四时无雨滴天浆.
智水仁山,日日当前逞道统 礼门义路,人人于此见天心.
鹭飞振振兮,不与波上下 地活泼泼也,无分水东西.
六代暮云沉,试看二水中分,与建邺地形似否 一亭春雨霁,惟问四山环抱,比滁州风景如何.
章岩月朗中天镜 石井波分太极泉.
忠烈千秋志 芳名万古存.
宰相状元余事耳 文章节义两兼之.
真把一片铁石心,拼得来中邦五千年衣冠种族 剧怜最高头颅血,购不回大宋十八叶锦绣江山.
宗臣遗像肃清高,在地成形,在天成象 山川出云作霖雨,有仙则名,有龙则灵.
天外楼台山外寺 云边钟鼓月边僧.
修水汇长川,滚滚浪花,风流人物淘不尽 南崖舒望眼,悠悠天地,忧乐心怀壮无边.
溪鱼浣砚争吞墨 山鸟通文看著书.
溪壑奔腾,到此方知谁第一 山楼耸立,将他比较世无双.
南溪汩汩,清水淙淙,文豪诗伯闻千古 明月溶溶,黄龙仡仡,铁笔银钩烨万年.
双井文章倾北宋 修水风物汇南崖.
一代诗宗,苏黄媲美 千秋书法,颜柳同归.
此是山谷旧居,应有文光联北斗 恰同凤凰对峙,长留雅韵在南崖.
松杉参差,细看斜斜还整整 风声飘渺,静闻密密复疏疏.
松密竹疏山阁雅 风清月朗夜窗幽.
澄江静练穿云去 秋月推诗入阁来.
伸手可扪,百尺山亭九霄月 放眸即取,万家城廓半江烟.
苦值冲疲,夫不停,马不息,劳而罔功,固有安乎天命 强装富庶,吏亦繁,民亦固,巧以成拙,未忍任其自然.
看黄庭有味 笑白发无闲.
忧民催白发 字道悔青春.
未死不休存省力 当官皆是进修时.
天理国法人情,无论公私皆要顾 热血良心勇气,任何境界不能移.
问俗采风,使各乡同胞毋留一毫隐痛 安民察吏,愿本县公仆不存半点私心.
柳线如丝,垂地织千年锦秀 山峰似笔,摩天写万古乾坤.
瓢杓汲千古 道途开十方.
世上几百年旧家,无非积善 天下第一件好事,还是读书.
石泉飞树杪 禅磬落山阴.
石龛飞爨火 岩树接峰烟.
人来青嶂外 钟出白云间.
从心所欲 随遇而安.
五云天际起 万象眼中收.
先代著仪型,春祀秋尝,蕃衍本支流百世 后昆承庇荫,忾闻爰见,馨香俎豆荐千秋.
才高倚马,望重登龙,载诵清芬宏启佑 鄂渚班师,章门握节,敬从新历烝奉尝.
光风霁月人千古 水净花香此一亭.
潘岳已归真,花满河阳仍不然 郑公宣表里,草生书带尚余芳.
喜开心眼常登阁 若问行藏且看云.
鸟语花香真世外 水光山色此亭中.
敢说肯构肯堂,依然是芸窗松榻 还傍好山好水,重开个酒社诗坛.
户对南山,手栽陶令菊 谟遗东汉,人读石仓书.
四季菜青黄,愿汉乡人无菜色 一堤花次第,更与何处恋花封.
适情于六柳堤边,人侣羲皇,民方怀葛 作塾在七松园里,动观知水,静爱仁山.
高座宾庐岳 虚窗镜蠡湖.
四山环拱停云窟 两洞相联结佛场；
此地当荆皖之冲,看孤山壁立,江水带环,名不殊昔年风景 抗怀自晋唐而巳,仰靖节清徽,梁公宦绩,愿奉作今日官箴.
石地石天,仿佛蓬莱仙境 云关云锁,依稀兜率星宫.
文章千古业 孝友一家春.
书不读人,人实读书,故曰书可读,书无不可读 室难容我,我能容室,果何室足云,室陋之足云.
福地那容凡客到 仙源未许俗人窥.
玉玺传家,龙虎山中真宰相 金符报国,麒麟阁上活神仙.
赴敌夜提兵,号令秋风传万里 摩碑朝读表,纵横文笔扫千军.
壁破牵萝补,腕底风来春草偃 碑残扪字读,峰前祝与乱山听.
阡表不磨崇国范 古坟犹带荻花香.
鸣扬万壑 水击千崖.
水流击石如飞雷 树影连山欲化云.
清风徐来,水波不兴,扶持自是神明力 行人安稳,布帆无恙,霄汉常悬捧日心.
危滩共指名惶恐 古县空闻号万安.
百战山河,剩此楼头烟树 九天珠玉,吹成水面文章.
今科又抡圆,愿诸生莫作第二人想 每月来课士,即此地可作试三场观.
遥闻爆竹知更岁 偶见梅花觉已春.
山中无历日 寒尽不知年.
笑前贤许多祥麟威风 乃所愿作个战马耕牛.
芳草有情牵戏蝶 飞花无主寄骚人.
山中藏古寺 山外尽劳人.
挂角何时？偶为岭上主人,犹想象千秋风度 举头欲问,何许山中置我？试管领万树梅花.
泉飞白石堪为酒 灶傍青山不买柴.
溪涧合流,在山时作琤琮,流尝泽物 朱陆讲道,后人妄分脉络,道本同源.
浔阳本历代名区,慨陶祠白堂,都归榛莽 陋室乃吾家故物,喜苔痕草色,重上帘阶.
缔造十年艰,游钓忍教先业坠 苍茫千载后,沧桑重见四时春.
文辞妙处不离禅. 时逢佳客开青眼；
难得闲人话白云. 江城之外无此画；
山雨不来仍有风. 谁家翠袖,歌南曲以来斯,戏水采莲舟,入望疑仙双桨月；
有客青衫,自西湖而戾止,题诗扫苔石,旧游如梦六朝山. 飞燕翻风弄落蕊；
游鱼逐水戏浮萍. 前不见古人,南浦春波空作赋；
吾弗老园圃,北山之壑漫移文. 枫叶荻花秋瑟瑟；
闲云潭影日悠悠. 平地分占东湖水；
小阁留栖南海云. 留此湖山,得此佳趣；
召以佳景,假以文章. 显妙法于莲花座上；
洒甘露于杨柳枝头. 岿殿峙灵光,重歔沫海香云,邳张新构；
频湖开净域,好对徐亭苏圃,稳渡慈航. 园中草木春无数；
湖上山林画不如. 深院钞书桐叶雨；
曲槛联句藕花风. 岸旁杨柳都相识；
世上蓬莱第几峰. 喝月惬幽怀,四壁藕花凉似水；
穿云寻古迹,一亭芳草冷千秋. 今月古月,桑海沧茫,展开扑地闾阎,缀兹胜境；
明湖鉴湖,故乡仿佛,愿挹在山泉水,贮作清波. 地辟百弓,喜楼台近水,朅来载酒寻花,秋月何如春月；
险开一镜,乐鱼鸟亲人,是处淡妆浓抹,东湖不让西湖. 鸡犬有缘见天日；
蛟龙无力起风波. 微斯人吴其为沼；
赖此老海不扬波. 茂对珠宫,西为东土；
同居贝叶,北镇南天. 挥患靖蛟波,荆渚周侯同俎豆；
延真登鹤观,洪都梅尉匹仙灵. 云白峰青,焕发庐山真面目；
蛟腾凤起,扢扬滕阁旧风流. 三条官烛,棘围辛苦廿年,苟以温饱负平生,斯誓有如江水；
一介儒冠,玉署光荣两世,能取文章报恩遇,此行方识庐山. 党狱甚坑儒,老子犹龙,不与群贤同死节；
湖亭能怀古,其人如玉,愿从空谷荐生刍. 住客满楼皆俊杰；
宗臣遗像肃清高. 疏草孤忠扶赤汉；
湖云千载拥丹青. 不必定有梅花,聊以老将军名姓；
从此可通粤海,愿无忘宰相风流. 背水建亭,休对绿波吟别赋；
为花请命,愿从苍昊乞春阴. 绣浦接三村,微闻帆桨轻柔,时有美人渡江去；
仙园环九曲,喜见河山清晏,料无畸士避秦来. 将军不可无马,汗马三分,洗马以来空凡马；
先帝尝称子龙,从龙百战,卧龙而外一神龙. 结庐在人境；
赖古多此贤. 五百年前,我辈是同堂罗汉；
三千界里,问谁能安坐须弥. 汉家樵子亦英雄,漫说云台列将；
莽世簪缨真草芥,可怜禄阁书生. 宅枕龙沙,看表里山川,曾是湘人辛苦地；
门盈驷马,喜从容樽酒,幸逢江介晏安时. 一派心传,为异为同,皆足衍西江道脉；
群贤踵接,或仕或隐,大堪震东鲁宗风. 志于道,据于德,依于仁,而后游于艺；
修其身,齐其家,治其国,必先正其心. 重开阆苑依瀛岛；
一道文光射斗牛. 京国衣冠皆有庆；
江山风月足娱庆. 敏事慎言,就正有道；
诵诗读书,尚谕古人. 九江甘棠湖
夜横高枕,声来九派风涛. 烟水亭,吸水烟,烟从水起；
风浪井,搏浪风,风自浪兴. 胜迹表宫亭,况恰当庐阜南横,大江东去；
平湖满烟月,谁补种四围杨柳,十里荷花. 烟柳有情,骀荡春光,风籁更催晨笛起；
水天无际,澄鲜秋色,月明远共夜珠来. 烟景岚光人自在；
水中境月佛菩提. 才识庐山真面目；
且将湖水洗心头. 点将快登台,即令烟水苍茫,犹是吴天气象；
知音闲顾曲,未识琵琶声调,能听汉代宫商. 不问石砚羊毫,一样染成烟雨景；
且把玉壶雀舌,几番吟到月浸亭： 一水抱城南,烟霭有无,归舟渔唱苍茫里；
双峰插天际,雨晴浓淡,倚栏人在画图中. 叠翠拱亭,现出庐山真面目；
四周抱水,生成湓浦好烟波. 请看世局如棋,天演竞争,万国人情同剧里；
好向湖亭举酒,烟波浩渺,双峰剑影落楼前. 凭栏看真面庐山,顾盼自雄,苍茫乾坤双剑颖；
烟酒吊小乔夫婿,翔游宛在,迷茫烟水一亭秋. 谁真仙吏飞凫,丹篆犹存,想见逍遥对烟水；
我亦江州司马,青衫虽旧,未因沦落感琵琶. 红雨一春帘外水；
青山六代画中诗. 恰好亭台驻烟月；
可无觞咏对湖山. 一亭直锁湖心月；
双剑横磨水面风. 胜迹重新,在红藕花中,绿杨阴里；
清游自昔,看长天一色,朗月当空. 如此湖山,何幸不才来领郡；
只谈风月,每逢佳兴即登亭. 到此登临,始见庐山真面；
偶然对酒,只邀明月当头. 笑饮烟霞,神仙福份原非小；
交融水乳,文字因缘不厌多. 近水远山山水色；
西亭东廊廊亭烟. 往事如烟,侧身天地更怀古；
月华在水,独立苍茫自咏诗. 何处临风歌水调；
几人画壁擅诗名. 四面湖山亭在水；
半堤杨柳寺藏烟. 亭是米家图画里；
人游蓬岛水云中. 到此莫话沧桑,且看鱼鸟忘机,湖山无恙；
入世都缘业障,认取烟霞如梦,人物皆非. 舟泛烟波,双桨荡开双剑影；
月溶水浪,一亭锁住一亭心. 湖上水亭幽,忆此间点将登台,才貌出群人有几；
眼前山色好,视当日随军顾曲,风流佳话我来迟. 结伴上孤亭,遥望庐埠云烟,焕出一番新面目；
擎杯迎皓月,照澈甘棠湖水,翻成万户好讴歌. 故国如此湖山,莫艳说杭颖名堤,秦淮画舫；
举目不殊雨景,却悄忆蓬壶日月,太液烟波. 烟似彩云,秀色演成庐岭景；
水如明镜,清光照澈浔阳城. 只论碧柳红墙,便饶诗情画意；
况当春花秋月,更看山色湖光. 烟水绕孤亭,忆曾此处登台,英发雄姿临八面；
荻枫凄九派,怀想当年顾曲,风流佳话名千秋. 两泓湖水开金镜；
九叠峰峦展玉屏. 一亭独立波心,烟水苍茫,看雨后晴初,九叠屏张红锦帐；
千载常留胜迹,岁时游赏,问名流学士,几人诗被碧纱笼. 湖上相看,双峰不改长春色；
亭前兀坐,叠嶂能生出世心. 四面烟浮湖上绕；
一亭月在水中央. 画桨藻萍鸥外境；
碧波杨柳镜中天. 烟雨楼台看绿化；
水光山色映红星. 时局迭沧桑,风景不殊,依旧柳边亭浸月；
甘棠自今古,江山如画,何妨湖上客题襟. 赏烟水一亭,莫让他三五诗人,篇章独占；
对江声九派,自有我万千志士,砥柱中流. 方圆十里平湖,烟水苍茫,都在一亭怀抱；
检点百年近史,沧桑变换,新开四化篇章. 柴桑几度沧桑,看血雨浇春,迎来万户红旗,千山碧树；
五老依然不老,笑甘棠酿酒,醉倒两行翠柳,一脉青峰. 行吟白傅,点将周郎,念千古英才,为胜迹增辉,文人增色；
九派波涛,一湖风月,问当年强者,看江山如画,豪气如何. 一亭扼自湖心,四面云山如画本；
五老参陪天末,千秋色相不雷同. 万态幻云烟,只有溯游鸥自在；
孤怀对山水,几回清浅鹤归来. 亭名浸月,桥近思贤,风景合推湖上好；
柳拂甘棠,草生湓浦,诗情毕竟此中多. 细念金经常听雨；
澹吟佳句且焚香. 到此听万籁笙竽,问谁识天外宫商,空中韶濩；
有客会重阳风雨,同领略湖山画稿,今古楸枰. 轩窗远渡云锋影；
几席平分月漾光. 玩水游山,应尽赏湓浦妖娆,匡庐雄莽；
凭栏书古,切休忘周郎气调,白傅风流. 疏烟流水共千古；
山色湖光共一楼. 清风明月不须买；
近水远山皆有情. 偶梦掠过云鹤影；
未秋先送木樨香. 道是当年旧烟月；
好将胜地记湖山. 暮鼓晨钟,唤醒许多梦梦；
月亭水榭,偶来相印心心. 公幻邯郸梦,我游烟水亭,谁真谁假；
剑拍东林云,鹤飞西江月,亦佛亦仙. 黄粱梦已醒,不必借先生枕头,去问功名富贵；
沧桑局频改,幸得傍未凋祠宇,来看烟月湖山. 黄粱炊熟梦中梦；
白鹤飞来天外天. 四大皆空,但见湖山双画舫；
万籁俱寂,忽闻水上一声钟. 思贤桥,桥上思贤,德高刺史名留世；
琵琶亭,亭下琵琶,情多司马泪沾襟. 灯影幢幢,凄绝暗风吹雨夜；
荻花瑟瑟,魂销明月绕船时. 聚散总前缘,最相宜明月一船,清风两岸；
古今几名士,合共唱大江东去,秋雁南来. 忽记故乡,为问买茶人去否；
只余风月,依然司马客归时. 乌鹊南飞,大江东去；
美人何在,佳句长存. 司马不来,相逢何必曾相识；
佳人何在,此时无声胜有声. 青衫湿尽非因泪；
红豆抛残别有情. 旧迹苍茫,枫叶荻花何处有；
新亭秀出,青衫红袖几人邻. 荻花枫叶令千古；
红袖青衫彼一时. 一弹流水一弹月；
半入江风半入云. 仙踪法界,有些诚意可来朝.
仙灵紫极,万里奔驰,不畏冬寒夏暑 神惠禄江,一心感应,何分楚水吴山.
幽秀且奇伟,二水长流,黎庶颂思皈古佛 凌霄兼竦拔,万山崇拜,群仙讲道在何年.
崇山峻岭,胡而天也胡而帝 奇峰高崇,有是地自有是神.
位冠天地人,尊无而上 教宗儒释道,立宰一元.
青简尚新,宿草将列 鸱鸮东徒,松槚成行.
月挂高天,一轮普照 风生大地,万境皆空.
山作佛头青,峭石如屏,万仞岚光辉北极 水如僧眼碧,涌泉通海,千秋灵异著神皋.
流风溯数千载而上 遗爱在廿八年之中.
左右顾盼,势雄景胜 山川壮丽,外险中平.
鲛女吹箫,贝阙珠宫流逸韵 湘灵鼓瑟,吴山楚水答清音.
海天相色无边界 吴楚东南第一峰.
吴楚通衢,黄花旧驿千秋迹 官民义举,红板新筑万古桥.
东来千里皆吴地 西过两关是楚江.
梵宇起平腰,千万翠峦齐俯地 后峰临绝顶,九重碧落不知天.
天空峰列五,问此中门户,参透为谁？慧佛由来传密老 寺外树盈千,历无限霜雪,坚贞乃尔,灵根或恐是菩提.
全仗慈云宏诞育 聊将法雨洗尘埃.
活水有真源,古寺爱开清静地 名山饶胜景,祥光犹护往来人.
欲寻古寺休疑僻 试饮灵泉亦有缘.
鉴开天一色 沼净月孤圆.
幽岩香高桂空老 放生泉清鱼自肥.
活泼宜观水 飞天欲问龙.
