崇正学； 育真才。
斗牛分野,吴越一星,两浙荷帡幪,犹有国人怀旧德； 戎马生郊,风云万变,百灵通肸蚃,安得壮士挽天河。
古迹重湖山,历数名贤,最难忘白傅留诗,苏公判牍； 胜缘结香火,来游福地,莫虚负荷花十里,桂子三秋。
朝生虫臂,暮死鼠肝,且看宇宙源底,陶然不落死生； 依净土以印净心,回峰现亿万化身,觉悟群迷成净果。
自直肃公后,代有闻人,不愧为三祖支流,五仲门第； 于明圣湖边,大开相宇,最好在金沙港内,玉带桥头。
元龙豪气,百尺高楼,时节正嬉春,留客花间酣醉月； 庾信小园,数椽老屋,嚣尘嫌近市,输君林下卧栖霞。
烟柳倚槛看,高城日暮,风景依然,长与钓游留胜迹； 沧桑随烛转,旧壁纱笼,题词安在？莫将裙屐换浮名。
煮茗剧长设,看岭上寒梅,堤边垂柳,到此无分宾主； 抛棋时一笑,问亭中铁釜,井底清泉,曾经几度沧桑。
近文峰塔,邻百花洲,开几面窗棂,饱看四围环树木； 出中正门,饮沧浪水,话半村烟景,何须千里访湖山。
谓之文也,聚三代英才,到于今前见古人,后有来者； 子好游乎,览九秋烟景,快收拾西湖明月,东郭清风。
古楼鼓楼亭,鼓楼雄峙楼鼓,俯瞰新街口,新姿胜古； 钟山中山陵,中山长眠山中,笑枕灵谷寺,灵气所钟。
指示机宜,伤心二百余年,忍令故国衣冠,沦为妖服； 挥军力战,假手六千君子,但愿当朝父老,复还王都。
三年灯火,原期此日飞腾,倘存片念偏私,有如江水； 五度秋风,曾记昔时辛苦,仍是一囊琴剑,重到钟山。
万物付澄观,体道研几,恰好值月到天心,风来水面； 四时耽静坐,忘言得意,正妙在云收雨脚,霞亘山头。
结构踞中峰,三山咫尺,万顷汪洋,胜景当前皆入画； 登临逢九日,鼋渚烟波,蠡园风月,俊游到此欲忘机。
当仁不让,见义必为,刚大塞两间,何惭禴祀烝尝典； 立祠报功,建坊崇德,馨香昭百世,永奠忠贞节烈魂。
洞庭山色,扬子江声,一样石盘沱,金粟前身香案吏； 阳羡春茶,兰陵美酒,四围花世界,芙蓉旧社水仙王。
佛以语言文字为禅,若叫枫落吴江,饶舌出袖中诗本； 寺有泉石楼台之胜,直抵园开祇树,点头遍郭外山光。
商彝周鼎,汉印唐碑,上下三千年,公自有情天得度； 酒胆诗肠,文心画手,纵横一万里,我于无佛处称尊。
吊明妃墓,入雁门关,积雪满长空,塞外风云来鼓角； 濯难老泉,谒叔虞庙,名园留片刻,眼中鸡犬亦神仙。
楼中几阅古今秋,想当年丹翼飞来,放眼都成仙世界； 桥上许多名利客,到此地绿荫深处,回头即是小蓬瀛。
樽前帆影,槛外岚光,数胜迹重重,都向江头开画本； 楼上仙人,阁中帝子,溯游踪历历,又来亭畔吊忠魂。
天开图画,美尽东南,落日咽孤忠,战血腥余千载后； 鲁酒不温,高丘返顾,歌风思猛士,江流倒卷万山来。
登百尺楼,看大好河山,天若有情,应识四方思猛士； 留一抔土,以争光日月,人谁不死？独将千古让先生。
与诸生结文字因缘,相期春诵夏弦,一片承平歌雅颂； 尽我辈做秀才分量,莫忘先忧后乐,千秋经济裕皋夔。
凭栏纵眼观,叹东方大陆风起云飞,欲请卧龙作霖雨； 寻壑恣幽赏,值西域胡氛烟销火灭,且容立马看河山。
在当年玩河洛,理星辰,俯察仰观,思创出文明世界； 到今日驾风云,走雷电,醇漓朴散,悔打开混沌乾坤。
西方贝叶演真经,如闻如来,总不出戒定慧三条法要； 南海莲花生妙相,自观自在,也只消闻思修一味圆通。
是谁从百世以后,能常念华夏同胞,长尽其医家义务； 惟公崇上古之风,独自精歧黄遗学,不愧为国手神通。
闭门宛在深山,好花解笑,好鸟怡情,尽是天生活泼； 开卷如游往古,几辈英雄,几番事业,都成文字波澜。
愧当代以医名,未能以奸雄破腹穿胸,把他心肠易换； 慨沉疴非药治,愿各从平日修身积善,默邀神鬼扶持。
拨开云雾见青天,千百年林莽迷离,复睹庐山真面目； 坐揽江山看胜地,一二点尘埃不见,好沿泉水悟禅心。
先有本而后有文,读三代二汉之书,养其根,竢其实； 舍希贤莫由希圣,守先正大儒之说,尊所闻,行所知。
庭前草鱼,槛外山光,须知我辈能豪,不在雕梁画栋； 墙及半肩,窗开四面,愿与吾民相见,常如日月青天。
岂惟潮人士敬戴先生,诚开衡岳之云,威戢鳄鱼之暴； 宜与朱紫阳并崇谥号,道原二氏之谬,文起八代之衰。
坡仙留胜概,多士闻风兴起,勋名节义切勿让美前人； 任众忌以遭愆,一生亮节孤忠,窃思石挽狂澜资大雅。
庭前草色,槛外山光,须知我辈能豪,不在雕梁画栋； 墙及半肩,窗开四面,愿与吾民相见,常如白日青天。
先有本而后有文,读三代两汉之书,养其根,俟其实； 舍希贤莫由希圣,守先正大儒之说,尊所闻,行所知。
城东佳景,常绕梦魂,叹半生飘零,遂与名山成久别； 岭表旧都,屡经离乱,望故乡英俊,共筹长策致升平。
师统扶君统于微,东鲁衰,圣人生,南安衰,圣人出； 临安视新安为近,望帝乡,沧海月,怀故乡,黄海云。
山以合观名,东西北三面开眼,玉嵌银雕,合观世界； 地因人杰著,退除役齐头并进,幽锤险凿,人杰精神。
观音山,观音坑,抱观音寺,顽石头头,向观音点首； 和尚洲,和尚港,对和尚门,净波面面,为和尚洗心。
慧月临空,有玉水前横,柘湖远映,清光一片印禅天； 吉祥琼树是双林,此处有鱼跃鸢飞,恍忆宝池征悟境。
赤陂南渚,斜柳北渟,止水鉴澄清,蘩藻薄言供俎豆； 银岭东屏,韶峰西障,雄山乐奇峻,柏檀好折荐馨香。
廉襄帝座,绩著王朝,溯祖德宗功,屡世簪缨推望族； 籍隶湘南,基传江右,喜孙贤子肖,万年蘋藻荐馨香。
仙花仑秀翠吾宗,数十载庙宇重新,灵光不断连关殿； 珠网丝牵开吉壤,廿余派椒聊蕃衍,塅名赢得是杨家。
丛祠本双桂清芬,愿后昆头角森森,万斛秋香量月窟； 石室枕仙山胜地,缅先正神丰岳岳,三峰春色拥灵旗。
别开画卷,独展雄姿,一代本妖娆,历史长河添锦绣； 宛在云霄,忽如圣地,八方寻足迹,人生逆旅尽波澜。
滴水洞天,鸾翔凤集,看滴水潮升,便默雄文昭日月； 韶山圣地,虎啸龙吟,叹韶山仰止,直招毅魄壮家邦。
先生大得便宜,只弄了一张琴,把千古湖光尽行买去； 我辈适当闲暇,聊凭这三杯酒,将两人心迹仔细评来。
功德在人间,乾无资始,品物流门,柱下函关原一气； 虚灵是道体,梵相有为,忝珠尽挹,降生说法见三清。
画船烟云下潭州,正此间檀板金樽,乐府翻成望乡曲； 瑶瑟清冷怀帝子,更隔岸梅花玉笛,天风吹送过江来。
才子重文章,凭他二赋八诗,都争传苏东坡两游赤壁； 英雄造时势,待我三年五载,必艳说湖南客小住黄州。
秦栈连云,看砥路问遵,剑阁尘清,不用青天歌蜀道； 巴山话雨,喜故人出宋,玉堂墨妙,乞将粉本绘嘉陵。
嬉笑怒骂皆文章,问当年所读何书,笔底江山助磅礴； 城郭人民几代谢,剩此地清游载酒,楼前风月自春秋。
棋散楼存,英雄安在？看马骤车驰,局面迥非当日样； 湖留堂废,美人云遥,想柳眉花貌,金粉笑煞六朝妆。
英雄儿女,将相王侯,小阁聚人豪,终古江流淘不尽； 世界沧桑,楼台烟雨,名湖犹昔日,几回劫梦醒无痕。
石城虎踞,钟阜龙蟠,苍茫壮奇观,犹想象英雄一局； 越西子湖,蜀薛涛井,古今留胜迹,问何如湖水千秋。
诗惭杜叟,文愧范公,我来敢挥毫,空怀千古无双士； 地坼楚吴,气吞云梦,此去难为景,曾上九州第一楼。
把酒临风,何为社稷其昌？只缘禹甸生辉,尧天戴德； 登楼命笔,倘得江山之助,应步少陵绝唱,范相奇文。
隔岸眺仙踪,问楼头黄鹤,天际白云,可被大江留住； 绕阁寻胜迹,看树外烟波,洲边芳草,都凭杰阁收来。
西汉文章蜀擅长,数遥遥千载名流,更有何人摛墨妙； 南条水道江为大,看滚滚百川放海,都从此地溯源头。
汉昌奉邑,岳阳将台,夫婿昔登坛,横槊南来消霸气； 楚冢新封,吴宫冷劫,阿姨谁荐食,大江东去有余哀。
就这里看破禅机,下乘、中乘、上乘,解脱因缘十二； 从此地参透妙谛,取法、执法、非法,定慧世界三千。
九匹白练出奇观,连续奔腾,远观如八骏骅骝添赤兔； 三岭松涛鸣爽籁,抑扬起伏,乍听如千军健卒赴疆场。
两君子皆风月主人,号素卷饭青精,同仿留侯寻辟谷； 五洞天本神仙福地,去三尸食六气,共偕苍老学长生。
红雨涨天,绿阴满径,琴樽忘主客,云中楼观是神仙； 胜地非虚,眺槛外烟波,半壁东南,图画天然成点缀。
秦有郑仙,汉有安仙,史传强区分,终以龙门为信笔； 生于东海,游于南海,烟霞遍踪迹,独以羊石辟清都。
学如来到无挂无碍,便超万劫轮回,真个能超凡脱俗； 闻菩萨发大慈大悲,要度众生苦厄,而今不度待何时。
我是无聊时节无聊人,且料理溪山,度当世无聊岁月； 你趁有趣林泉有趣酒,快招邀俦侣,过大家有趣光阴。
庙貌遍尘寰,此间地接许昌,请看魏国山河,徒留荒草； 轺车遵汝水,使者家居苕霅,愿与故乡父老,同拜灵旗。
驻节观风,想当年名娃粉黛,国士风流,俯仰千秋人物； 飞觞醉月,问门外山色苍茫,溪声幽咽,浮沉几代兴亡。
革命十余年,亡命十余年,草草劳人,半段绿沉长饮恨； 西湖一勺水,东湖一勺水,家家春社,数声铜鼓唱迎神。
方塘凝练,瀛岫飞岚,看此日云影天光,犹是淳熙旧景； 时教正业,退息居学,愿多士夏弦春诵,无忘白鹿遗规。
诗梦酒痕,苔芩结契,争羡阁边高阁,永留丰壁起层峦； 清福几生修,伴逋仙高隐,少尉孤忠,一岭梅花寻冷趣。
读上清璚书宝箓,响琅法鼓,烟馥众香,天际常瞻紫气； 到此地修竹茂林,朝吸湖光,暮饮山渌,人间自有丹邱。
宰相溯家声,诗赋流传,鸿篇诵红杏词妍,观寒梅丽句； 林泉客小筑,壶觞雅集,胜景看平湖秋月,朗竺岭还云。
刚自越州来,忆东浙旧游,曾领略万壑涛声,四明山色； 欲寻盘谷去,被西湖留住,尽消受六桥烟景,三竺风光。
谁谓我屋,谁谓我家？本来栖息人间,难得此近山远水； 何必学仙,何必学佛？也算优游洞府,便不是俗骨凡胎。
游宦到钱塘,饮水思源,喜两浙东西,与歙浦江流相接； 钟灵自灊岳,登高望远,问双蜂南北,比皖公山色如何。
洪水想当年,幸怪锁洪湖,十万户饭美鱼香,如依夏屋； 清时思俭德,祝神来清浦,千百载泳勤沐泽,共乐春台。
作尉到江皋,喜云山话旧,樽酒论文,消荡乡心忘异地； 登楼怀水绘,观一镜平波,半宙蕉月,依稀风景说当年。
四围疏柳,三径荒苔,人来通海泉旁,古寺夕阳供凭吊； 一曲小桥,半湾流水,地接学山园外,平林烟景足勾留。
有舍己为人义骨侠肠,却从鲁达、武松、李逵身上画出； 具掀天揭地深谋远略,乃自晁盖、宋江、吴用胸中写来。
分狮林一角,鹫峰一拳,邱壑自然佳兴到,梅苔铺作席； 种芙蓉成城,杨柳成郭,林阴深处望客来,冠珮粲如云。
集一堂俊彦,献热抒情,夕照艳南天,燕舞莺歌何厌晚； 承六代风骚,敲棋作画,春吟崇北阙,龙盘虎踞正逢晴。
名园倚绿水,羡家足稻梁,手移蒲柳,愿常过何氏山林； 大好湖山,红蓼岸,白苹洲,鼓耀来游,数声烟云入画。
大江南北,亦有湖山,来自衡岳洞庭,休道故乡无此好； 近水楼台,尽收眼底,论到梅花明月,须知东阁占春多。
博雅腾声数杰,烟波浩淼,浴鹤晴晖,三万顷湖裁一角； 艺圃蜚誉全吴,霁雨空蒙,乳鱼朝爽,七十二峰剪片心。
违亲不孝,背君不忠,敢辞瘴雨蛮烟,采药当年心最苦； 传季而王,偕仲而霸,岂意吴头楚尾,瓣香到处德维新。
一勺试清泉,此邦故老相传,都道是谽师卓锡峰头遗迹； 数椽营胜地,我辈闲人游览,勿徒向真娘埋香冢畔题诗。
泉石憩名贤,伴具区烟水,林屋云峦,独向尘寰留胜迹； 簿书逢假日,更解带乱耘,停车问俗,岂徒觞咏事清游。
萧梁逝水,往迹犹新,问谁大雅扶轮,再继元储不朽业； 沧海横流,人间何世,趁我余光秉烛,补读平生未见书。
图书贯古今,藏诸子文彩,百家风骚,传布教化启民智； 信息通天地,纳众星精英,万邦花雨,开发经济敦国风。
此间亦有南山,看云归欲夕,鸟倦知还,风景何殊栗里； 在昔曾游东海,忆芳草绿溪,林花夹岸,烟村别山桃源。
居家当思清内外、别尊卑、重勤俭、择朋友,有益于己； 处世犹宜慎言语、守礼法、远小人、亲君子,无愧于心。
念念不离心,要念而无念,无念而念,始算得打成一片； 佛佛原同道,知佛亦非佛,非佛亦佛,即此是坐断十方。
酒家何处,杨柳依垂,每当月白风清,胜地也应招子美； 潭水依然,桃花无恙,到此神怡心旷,前身或许是汪伦。
一花一世界,一叶一如来,色色空空,妙相同参成佛果； 三貌三菩提,三乘三觉悟,生生世世,法轮有幸现金身。
眼不宜多,眼多则偏,观那人世间困苦颠连,徒增难过； 手尤要少,手少则专,抱我自家的精神念虑,免得乱抓。
下则为河岳,上则为日星,万象在旁,放眼雄边成壮阔； 前不见古人,后不见来者,一杯相属,凭栏孤喟落苍茫。
苦值冲疲,夫不停,马不息,劳而罔功,固有安乎天命； 强装富庶,吏亦繁,民亦固,巧以成拙,未忍任其自然。
天空峰列五,问此中门户,参透为谁？慧佛由来传密老； 寺外树盈千,历无限霜雪,坚贞乃尔,灵根或恐是菩提。
转眼便收场,任苦乐殊形,只传得一歌一哭,流传菊部； 到头俱是戏,看描摹尽态,须留些好模好样,付与梨园。
频年与公有缘,宿太安驿,登阳城山,每以采风深尚友； 八代之衰顿起,听石鼓歌,诵佛骨表,更谁渡海与齐名。
补天娲神,行地母神,大哉乾,至哉地,千古两般神女； 治水禹圣,济川后圣,河之清,海之晏,九州一样圣功。
境隔尘嚣,左有虎,右有龙,平地风云,不著个中色相； 岩名方广,水为帘,石为瓦,嵌空楼阁,别成世外乾坤。
数定三分,扶炎汉平吴削魏,辛苦倍常,未了一生事业； 志存一统,佐熙明降魔伏虏,威灵丕振,只完当日精忠。
高山仰止,尼山耶,文山耶？一东一南,名随所地而出； 流水盈科,泗水乎,沈水乎？其源其派,到底以海为归。
梨花淡白,杨柳深青,迎来欧美人豪,玉宇琼楼开境界； 上月清辉,海涛澎湃,陶铸炎黄儿女,南张北溥写山河。
叔负侄,侄不负叔,八千里芒鞋徒步,狮山更比燕山高； 芦笙赛祖,毡帽踏歌,当年柱号天尊,金缕翔环遗旧垒。
莽乾坤能得几时闲,莫辜负半日逢僧,共话沧桑堪小憩； 好光景不愁无处觅,最难是万家生佛,关怀涂炭救群黎。
看来何必有洞,何必有花,与诸君清谈半晌,即是神仙； 说什么仙,看千年石洞开时,城郭人民,还是耕田凿井。
先生真移我情,挹湖上清风,尚留弦外余音,曲中天籁； 此地适如人意,方汉南春色,恰有夹堤杨柳,隔岸桃花。
挞鼓想豪雄,问他展墓何人,都知小儿是杨,大儿是孔； 鹦鹉惊手笔,阅尽成名竖子,怕说坐者为冢,卧者为尸。
隔秋水一湖耳,看岸花送客,樯燕留人,此境原非异土； 共明月千里兮,记夜醉长沙,晓浮湘水,相逢好话江山。
教有万法,体性无殊,不可取法、舍法、非法、非非法； 佛本一乘,根源自别,故说下乘、中乘、上乘、上上乘。
想当日和尚定似懒残,早知春梦成空,说不到十年宰相； 倘上方佛图都如贾岛,偶值秋宵遣兴,应难忘一字推敲。
翻来覆去,钵吃千家,如不了道明心,踏破草鞋非谛当； 闯南走北,身游万里,果能悬崖撒手,行参云水实悄然。
以汉帝为兄,以武圣为兄,只徒马尾系树枝,谋而有勇； 或断桥退贼,或擒将退贼,谁信蝇头提刁斗,武亦能文。
胜地我频游,听江上竹枝,依然是麝香打柴,鱼腹晒网； 空山人不见,看城头蔓草,何处寻少陵秋兴,太白朝云。
君臣相悦,遑论输赢？谁知开国帝王,笑把湖山当孤注； 儿女多情,易生悲感,愿祝凝妆少妇,饱餐风月不知愁。
江山再劫,收抬残棋,好凭湖影山光,洗尽余氛见林壑； 楼阁周遮,低回灵迹,中有美人名将,平分片席到烟波。
果有浔阳楼乎？将宋江酒醉,壁上题诗,写得有声有色； 如无水浒传者,则梁山聚义,替天行道,就会无影无踪。
湘江碧浪,洗尽尘霾,卷开汉策三篇,人尚千秋怀贾谊； 槛外青山,森如子弟,撑起南天半壁,我来百尺卧元龙。
君骑黄鹤去,俯玉宇琼楼,难抛却千古棋枰,万家灯火； 我泛斗槎来,携诗筒画稿,再收拾湖边风月,江上烟花。
我为百花生,乘兴重游,听丝管锦城,依旧风云齐入半； 楼更一层上,纵横千里,觉河山春光,从来天地异常新。
铜雀算老瞒安乐窝,卖履晚无聊,一世雄尽,美人亦尽； 洞庭是夫婿战利品,埋香兹有托,三分鼎亡,抔土不亡。
向薄游岳阳,彼鲁肃墓巍巍在旁,初不闻诸君馨香俎豆； 使竞锁铜雀,同息夫人脉脉饮恨,奚足今过者凭吊咨嗟。
恒岳万古镇中原,惟我圣朝归马牧羊,教化已隆三百载； 夕昌六星联北斗,是真人才雕龙绣虎,光芒雄射九重天。
即心即佛？但从彼岸问迷津,渡头宝筏开时,慈航有路； 是色是空？诚向兹山瞻法相,洞口祥云护处,变化无方。
视不见,听不闻,妙哉希夷,合玉清、上清、太清之旨； 知其几,观其窥,湛然澄清,为天道、地道、人道之宗。
此处胜蓬瀛,寻个中景物,须领略蕙谷清风,鉴湖明月； 今朝临绝顶,睹劫后河山,最难忘剑门烽火,巫峡波涛。
天堑演楼船,忆瓜洲星火,京口烽烟,曾向丛林听鼓角； 海门资锁钥,幸鲽伏鹣驯,蛟潜蚪隐,如携樽酒对江山。
水界辽河,山通华表,历数代毓秀钟灵,不愧东都胜迹； 千峰拔地,万笏朝天,看四时晴岚阴雨,遥连南海慈云。
五转汞,七转铅,九转丹,万象皆清,洪炉中有真人诀； 一分屋,二分竹,三分水,纤尘不染,蜀国南来小洞天。
念念不离心,要念而无念,无念而念,始算得打成一片； 佛佛原同道,知佛亦非佛,非佛亦佛,即此是坐断十方。
其身世系中夏存亡,千秋享庙,死重泰山,当时乃蒙大难； 闻鼙鼓思东辽将帅,一夫当关,隐若敌国,何处更得先生。
涪王兄弟,蕲王夫妇,鄂王父子,聚河岳精灵,仅留半壁； 两字君恩,四字母训,五字兵法,洒英雄涕泪,莫复中原。
负天下奇才,若定指挥,独惜赍志偏安,鼎足三分屈王佐； 叹风尘末吏,未遑窃此,追溯鞠躬尽瘁,心香一瓣学乡贤。
用之则行,舍之则藏,溯尼山邹峄而还,五百年必生名士； 为一不义,杀一不辜,虽千驷万钟弗受,三代下犹见斯人。
壶歌多暇,竞病自娱,溯当年蕲国风流,两字清凉镌小印； 丹雘重新,湖山大好,欣此日魏塘雅集,一樽烟雨入吟瓢。
鄮山是灵气所钟,休养振兴,赖有司首倡经营,修复坠绪； 甬江为人文之冠,乐群敬业,愿多士相观砥砺,继美前贤。
正气足千秋,只今砥柱中流,得力在惶恐滩头,零丁洋里； 忠臣惟一死,壮此崇祠孤屿,触景到罗浮山下,扬子江心。
亚字阑,卐字墙,丁字箔,心字香,翼然井然,咸宜左右； 东瞰日,西瞰月,南瞰山,北瞰水,高也明也,宛在中央。
其人为豪侠者流,看剑挑灯,那管他四壁风雷,满天星斗； 此地是神仙之府,炼丹辟谷,最难得一湾碧水,万叠青山。
甘棠绕屋,荐鞠浮尊,比当年广厦万间,下榻正宜徐孺子； 玉笛无声,青山依旧,精此处明湖一曲,停车都唱蒋安阳。
华榭开时,喜集域中人,贴水芳园画意,半池莲叶容鱼戏； 草堂行处,退思天下事,生风熏阁琴声,千树桐花任凤游。
象教重施金,好依我佛幽栖,三藐三空,色相庄严焕异彩； 龙城今卓锡,犹怅蜀僧远去,一瓶一钵,沧桑因果话前尘。
百战功成,从戟门牙帐而来,谢万户侯封,贪看六朝山色； 十弓地拓,极石磴云关之胜,问汾阳声伎,如何居士清凉。
理窟造精微,由龟山一脉而来,高也,明也,悠也,久也； 名区占幽胜,有笠泽四围相绕,藏焉,修焉,息焉,游焉。
神之格思,生为英,死为灵,正气常存,浩劫历庚辛壬癸； 鬼言归也,弋于山,钓于水,故乡可乐,同堂职桔柚槐榆。
梅放满园春,欣看四围山色,万顷湖光,胜景逾辋川别业； 诗吟小香雪,媲美三径黄花,千林红叶,闲情有邓尉高风。
大千世界本微尘,看到眼沧桑,方知即色即空,即空即色； 十万烟华如昨梦,问当头明月,可是无人无我,无我无人。
积忠孝以成神,典桂籍科名,予夺后先,十五国文章司令； 举阴骘而垂训,鉴槐区德行,权衡富贵,亿万年造化枢机。
卅年前曾记来游,登楼看雨,倚槛临风,俯仰已成今昔感； 三经外重增结构,引水通舟,因峰筑榭,吟歌长集友朋欢。
梁代溯灵踪,有情应感沧桑,几辈复登山,来挹清泉洗眼； 吴宫征美实,无羔尚留花草,何人能说法,且看顽石点头。
好学慕青宫,登阁攻书,当怜心苦分明,想见前贤此行坐； 忧时搔白发,凭栏觅句,顿觉目穷苍莽,感怀故国几沧桑。
开绝学于胡叔心、陈公甫、王阳明之前,享祀方堪从庙庑； 集大成于西河氏、太史公、文中子之后,诞灵不应愧河津。
阅遍大千世界,放出头去,莫学汉家马,丰功未藏泣壶头； 删定赞修,真千古同功,较汉堂训诂,诸儒仰高山而功倍。
去日苦难留,须臾六十四年,觉浮生仕真若梦,游真若梦； 高风洵寡偶,上下三千余载,问何人诗可称仙,酒可称仙。
在三国中,论时会,论遭逢,壮志未酬,天运早归司马晋； 从两汉后,数经伦,数学识,真才难得,人间只有卧龙岗。
酒当吃醉时,笑也真,说也真,露出真机,便带几分仙气； 仙到修成后,天可乐,地可乐,得来乐趣,岂止一个酒狂。
七万人相庆更生,计农桑、教化、兵防,名世允推儒作将； 十五卷共遵遗集,兼道学、文章、经济,此邦尤愿士希贤。
放开眼界,看朝日才上,夜月正圆,山雨欲来,溪云初起； 洗净耳根,听林鸟争鸣,寺钟响答,渔歌远唱,牛笛横吹。
所学四子了生平,惟诚意,惟正心,振邹鲁濂洛关闽之绪； 以订群书为己任,曰知行,曰居敬,阐尧舜禹汤文武之传。
于楞严会上演说圆通,次第示六解一亡,清净独推真教体； 向阎浮界中拔营苦难,应化遍生四三有,刹尘普现紫金身。
恩颂梓橦,令仰先考,创教芎林,满架五经书,荣登禄籍； 德沾阴骘,文思寒家,乐游泮水,一门三秀士,宠获铨衡。
此地崇山峻岭,茂林修竹,最奇云海大观,蔚为人间胜境； 到处明月清风,流水激湍,虽无蓬壶仙迹,堪称岛上洞天。
风景不寻常,试探胜迹奇观,鳌石狮山,都向楼台增彩色； 英雄庸有种,且看专征老将,武功文德,至今草木识威名。
杨妃春燕,西子秋波,装成媚态娇容,问天下有几双醒眼； 林畔樵歌,溪边渔唱,弹到高山流水,恐古今无二个知音。
北横仙砦,南转云源,问谁对流水高山,已仿伯牙弹古调； 东哕凤凰,西鸣铁石,令我在梵天佛地,更欣客体有同声。
遗迹此台,想当年掩抑七弦,定弹个吾道南来,大江东去； 知音何处,到今日苍茫四顾,只剩得汉阳流水,黄鹄高山。
息马仰真容,忆当年泰岱同瞻,衮冕常新,俨与岳宗南面； 卓刀留胜迹,看此地长江环抱,渊泉时出,不随浩渎东流。
郁满腔壮采奇情,挞鼓祼衣,早目空老奸曹瞒,俗物黄祖； 剩几辈词人墨客,访碑谒墓,犹指点洲前芳草,江上斜阳。
理池东榭,构池西廊,即此点缀工夫,记得是主人待月处； 背一囊琴,携一壶酒,到此清凉境界,却好个汉口夕阳时。
佚事溯前闻,叹古来宦海场中,无非一局棋枰,空争胜负； 痴心说后果,问他日莫愁湖上,可有千秋图画,绘我须眉。
大局竟如棋,黑白混淆,纵教国手重逢,一片模糊难著手； 平湖明似镜,腑肝照见,漫羡佳人独步,十分体面总销魂。
劫后此登临,往古来今,不过一局输赢,惟我挥英雄涕泪； 湖中留图画,琼楼绮阁,仅剩六朝粉黛,问谁识儿女情怀。
吞一万里长江,吐八百里洞庭,要令天下波涛,尽为我用； 复几千年大观,展卅余年画卷,试问巴陵胜概,尚有谁忧。
返棹东来,看风景一新,从前碧玉深藏,仙客晚吟诗卷处； 凭栏北顾,正斗躔相映,定有朱衣暗点,何人先夺锦标归。
望江楼,望江流,望江楼上望江流,江楼千古,江流千古； 印月井,印月影,印月井中印月影,月井万年,月影万年。
望江楼,望江流,望江楼下望江流,江楼千古,江流千古； 印月井,印月影,印月井中印月影,月井万年,月影万年。
此地藉卧龙以传,看丹江西抱,白水东环,只许长留名士隐； 斯人超雏凤而上,到莘野币交,渭滨车载,何如亲见使君来。
孝女名江,看汐往潮来,百十里叠浪层波,是哭父千行血泪； 逸才题赞,想外孙幼妇,八个字虫侵蠹啮,为诔娥万古丰碑。
大学积格物致知,天下家传户诵,共仰詹夫子往复辩论之功； 半亩寻源头活水,贤辈道立德明,当念方先生左右赞襄之方。
黼黻仰庄严,对六桥浓澹,青光城郭依然,画栋珠帘思帝子； 风云乘际会,揽十国兴亡,遗迹旌旗想象,银涛铁弩壮军声。
胜地览湖山有美,人才期慎选,规模整肃,须知科举为求贤； 襄事赖同人,稽庶务,慎专司,知内外寅僚,共体笙簧礼意。
几经劫火尚澄鲜,望隔苑斜阳,犹想见胜国骚人,高庭裙屐； 一入风尘难免俗,趁名园雅集,也聊当皖公山色,闲话莼鲈。
公园移名迹,已胪列古碑旧刻,又何论周秦椎鲁,宋元流媚； 茂绩溯前贤,更历尽沧海桑田,总难忘三吴水利,复社声华。
牧民资保障,自公至始筑城垣,捍患御灾,当首数蓉湖名宦； 守土展明禋,况我来忝同籍里,报功崇德,只心仪枌社先贤。
前尘如梦,旧游西子湖边,十年冠盖虚掷,笑我也曾骑黑卫； 缺憾常留,小憩吴公台畔,九曲栏杆倚遍,教人何处看青山。
遗构溯欧阳,公为文章道德之宗,侑客传花,也自徜徉诗酒； 名区冠淮海,我从丰乐醉翁而至,携云载鹤,更教旷览江山。
江枫渔火,胜地重来,与国清寺并起宗风,依旧钟声闻夜半； 木屐桦冠,仰天长笑,有寒山集独参妙谛,长留诗句在吴中。
双手把大地山河搓圆,捏扁,撕碎了,灰洒空中,浑无实象； 一棒将混世魔王打死,救活,唤醒来,举头天外,尽作道场。
座中都是故乡人,喜一榻烟茶,好同话南浦朝云,西山暮雨； 江上别开名胜地,近二分明月,试凭眺东流雪浪,北固晴霞。
画栋久销沉,问何时燕子归来,只空嗟名士青衫,美人黄土； 琼楼新结构,为绝代娥眉生色,又重睹香山月旦,坡老风流。
此地当荆皖之冲,看孤山壁立,江水带环,名不殊昔年风景； 抗怀自晋唐而巳,仰靖节清徽,梁公宦绩,愿奉作今日官箴。
千载奉声灵,想当年捐献救患,世荷帡幪,萍水长流思厚泽； 群生登仁寿,喜此日妙手回春,方传遐迩,枌乡共乐荐明禋。
秀才别具经纶,勿侈谈功业,即此寿世良方,良医允称良相； 世人志宏胞与,溯胡老传闻,能为独尝苦水,成道乃克成神。
诸君到此何为,岂徒学问文章,擅一艺微长,便算读书种子； 在我所求亦恕,不过子臣弟交,尽五伦本分,共成名教中人。
自樵岚一脉而来,地势嵯峨,看好水好山,四面风光都入画； 溯赵宋千年以降,人才衰竭,问名儒名相,几时川岳再钟灵。
远看疑画,近看似诗,及至身到其间,又觉诗画都无着手处； 善者敬神,恶者畏鬼,究竟皆非异物,须知鬼神自出在心头。
观笼雨,鹅鼻月,鹿耳潮,看他万象森罗,无非大觉真心现； 赵州茶,雪峰毬,云门饼,待我一拳粉碎,莫被山僧巧舌瞒。
